Location,NDP Pillar,SubSector,2015 Location Total,2016 LocationTotal,2017 Location Total,2015 Pillar Total,2016 Pillar Total,2017 Pillar Total,2015 SubSector Total,2016 SubSector Total,2017 SubSector Total,Project title,Project objectives / purpose,Start Date,End Date,Links to other Sector,Reporting Agency,Funder,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Links to project webpages or documents,Gender,Capacity building,Stabilization,2015 Project Location Allocation,2016 Project Location Allocation,2017 Project Location Allocation,Location Total 2015-17
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,RE-INTEG - Conducive environment for reintegration,To contribute to create a conducive environment for anchoring the population in Somalia and to increase access to basic services and creation of realistic livelihood opportunities in the main accessible areas of return and departure in Somalia,Jan-16,,,EU,EU,TBD,Unclear / TBD,36666666.67,0,14444444.44,14444444.44,,Significant,Significant,Significant,,2407407,2407407,4814814
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,Integrated Humanitarian Assistance for Vulnerable Groups in the Shabelle Camp for Internally Displaced People,"Reducing the vulnerability of internal displaced people , especially women and children - in the Shabelle-IDP-Camp in Mogadishu",Jan-16,Jan-17,NRM & Resilience,Germany,German Federal Government,Save the Children,NGOs,263888.8889,0,1330492.222,1308396.667,,Principal,Significant,Significant,,1330492,1308397,2638889
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,Innovative Solutions for the Internally Displaced in Mogadishu and for Reitntegration in Kismayo,"Mogadishu: Outcome 1 – selected IDP families at risk of evictions secure a housing solution by committing to engage in livelihoods activities, participate in saving schemes and training. Target families do not go back to settlements. Outcome 2- capacity of the government authorities is built in view to create and administer a rental subsidy scheme at the level of the municipality Outcome 3 – bylaws at municipal level to regulate and manage rental schemes and to comply by the eviction guidelines are in place Kismayo: 1. Spatial plans guide rapid urbanization process 2. Returns and local reintegration effectively managed based on agreed upon reintegration framework 3. Urban identity campaign increased social cohesion 4. Affordable semi-/ permanent prototype houses guide and promote low-cost housing development at scale",Jan-17,Jan-17,,UN-Habitat,Sweden,UN-Habitat,UN,0,0,0,896900,,Significant,Significant,Significant,,,717520,717520
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,"Mapping of the policy framework, institutional capacity and existing intervention in mixed migration management in Somalia","The purpose of this action is to increase a shared understanding within the EU and Somalia stakeholders of the current policy and institutional framework and existing capacity in managing mixed migration flows in Somalia & to identify gaps and needs that require urgent intervention as well as to propose concrete options for actions under RE-INTEG Result 2 (at improving and implementing policies and legal framework for IDPs, refugees and returnees and strengthening capacity and cross-border cooperation)",Jan-16,Jan-16,,EU,EU,Dansk Flygtningehjaelp Forening,NGOs,36355.55556,0,32720,3635.555556,,Significant,Not Targeted,Not Targeted,,4090,454,4544
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,ELMIDOON “Seeking Knowledge” ENHANCED ACTION (ELENA),"The programme will consolidate and improve existing education opportunities and provide additional public quality primary and secondary education opportunities in 11 regions of Somalia (Banadir, Galmudug, Mudug, Bay, Bakool, Lower Shabelle, Middle Shabelle, Lower Jubba, Galgadud, Gedo and Hiraan). The Somalia Special Support Programme (SSSP) highlights education and governance as two important sectors. In light of this, the Action builds on the objectives of these two sectors with emphasis on education.",Aug-15,Aug-17,,EU,EU,ADRA DEUTSCHLAND EV,NGOs,6666666.667,2222222.222,2222222.222,1555555.556,,Significant,Significant,Significant,555556,555556,388889,1500001
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,JPLG - 7 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Jan-17,Decentralized service delivery modeling in Education,UN JPLG,"SIDA, EC, DFID, DENMARK, SDC and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,318598.5047,326102.5859,309928.1878,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,14337,14675,13947,42959
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Education,Address conflict through peacebuilding and reconciliation and strengthened conflict resolution mechanisms,Jan-15,Mar-17,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",City University Mogadishu,Academic / Research Institutions,216883,130675.94,204685.94,12197.06,N/A,Principal,Principal,Significant,130676,204686,12197,347559
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Education Sector Development Support for Regions in South and Central Somalia,"To expand education and training opportunities, contributing to poverty reduction within a peaceful, secure and democratic Somalia.",Jan-16,,,EU,EU,TBD,Unclear / TBD,9596460,0,0,9596460,,,,,,,1599410,1599410
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Agricultural and Medicine Faculty investments,,Jan-15,Jan-15,,Turkey (2015 data),"Turkey,",IHH,NGOs,786000,786000,0,0,,,,,786000,,,786000
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Education support,Scholarships to students for education and dorm,Jan-15,Jan-15,,Turkey (2015 data),"Turkey,",N_L ORGANIZATION,NGOs,403000,403000,0,0,,,,,201500,,,201500
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Management of Seikh Sufhı High School,Accomodation and food expenses of the students in 2015,Jan-15,Jan-15,,Turkey (2015 data),"Turkey,",DIYANET FOUNDATION,NGOs,1000000,1000000,0,0,,,,,1000000,,,1000000
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Teacher and School Leadership Training for Formal Education for Out-of-School Children in Somalia,"The Education a Child-funded, UNICEF-UNESCO partnership initiative will help educate 64,000 out-of-school children in the hardest to reach communities. To realize this goal, 2,342 teachers and head/deputy head teachers will be trained on child-centered methodologies and multi-grade teaching skills, school leadership and management using customized materials",Jan-14,Jan-17,,UNESCO,Educate A Child,UNICEF-EAC,UN & Regional Actor,2385774,438394,795624,0,,Significant,Significant,Not targeted,62628,113661,,176289
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Skills for Life in Somalia: Improving Literacy Levels and Life Skills among Youth and Women,To improve the education and livelihood conditions of out of school youth (14-29 years old) and illiterate adults (15 years and above),Jan-14,Jan-16,,UNESCO,"UNESCO, Al-Makhtoum Foundation",UNESCO,UN,1000000,150000,144913,0,,Significant,Significant,Not targeted,21429,20702,,42131
Benadir,Social & human capital,Education,51310327,52215286,37450545,22358374,19907559,16204069,3072124.714,1257638.54,2014442.717,Global Partnership for Education - CSZ,Building Education Systems,Jan-14,Jan-16,,UNICEF,GPE - SC140001,UNICEF,UN,2423162,2000000,2322400,0,Not available,Significant,Principal,Significant,300000,348360,,648360
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,EU Flight Services to Somalia,The overall objective in line with the New Deal Compact is to contribute to fostering the resilience of Somali people and institutions and restoring the Somali people's trust in the state and its ability to protect and serve their basic needs.,Jan-16,Apr-18,Flight Services,EU,EU,AIRTRAFFIC LTD,NGOs,16927555.56,0,1747821.278,0,,Not Targeted,Not Targeted,Significant,,218478,,218478
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,Somalia Program Support Services (SPSS),"SPSS conducts consistent, on-the-ground, performance monitoring and verification visits to USAID-funded activities, and reports to USAID technical staff to enable effective and efficient management. In addition, SPSS designs both performance and impact evaluations of individual activities, as well as quantitative and qualitative impact assessments of overall progress made toward achieving USAID’s goals.",Jan-14,,"Research, M&E",USA,"USA,",International Business & Technical Consultants Inc. (IBTCI),Private Sector,24000000,3935880,5042740,5272000,,Significant,Significant,Significant,787176,1008548,1054400,2850124
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,Third Party Monitoring & Evaluation - Somalia,"To carry out independent and objective monitoring and evaluation of EU funded projects in Somalia in order to enhance program quality, data analysis, baselines, accountability, effectiveness and capacity building services for the Ministry of Planning and International Cooperation (MOPIC), who will in the future be the National Authorising Office (NAO); including its Monitoring and Evaluation Department, concerned line ministries, as well as, key ministries from Somaliland.",Jul-16,Jul-17,"Research, M&E",EU,EU,PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT,NGOs,1999555.556,0,666666.6667,522222.2222,,Significant,Significant,Not Targeted,,83333,65278,148611
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,Field Offices in Somalia Programme 2016,Technical and operational support to development assistance to Somalia,Jan-16,Dec-16,,EU,EU,SOOMAALIYA JUMHURIYYAT AS SUMAL,NGOs,2797108.889,0,1109341.111,0,,Not Targeted,Significant,Significant,,138668,,138668
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,Local Operational Support Programme 2016,The aim of the programme estimate is to contribute to the quality of aid by reinforcing the operational capacity of the EU Somalia Delegation to meet its mandate and deliver key results in line with the priorities outlined in the Somali Compact and the National Indicative Programme (NIP) 2014-2020.,Jan-16,Dec-16,,EU,EU,SOOMAALIYA JUMHURIYYAT AS SUMAL,NGOs,548208.8889,0,316274.4444,0,,Not Targeted,Significant,Significant,,39534,,39534
Benadir,Other,Enabling Activities,51310327,52215286,37450545,1117867,1597192,1119678,787997.8,1494812.938,1119677.778,Other Program Design and Learning activities,Program Design and Learnig activities - meetings,Jul-05,Aug-05,"Research, M&E",USA,,,Unclear / TBD,0,4109,31260,0,,,,,822,6252,,7074
Benadir,Social & human capital,GBV,51310327,52215286,37450545,22358374,19907559,16204069,953200,1600000,1400000,Social acceptance of practices harmful to children in targeted locations reduced and improved access to services for GBV survivors,"Supports service delivery for women and children who have experienced violence, abuse or exploitation. Develops and establishes standards of care for mental health and psychosocial support, including establishing a social work force. Works with inter-ministerial body on changing harmful social norms related to sexual violence, including conducting a longitudinal research on social norms and sexual violence. Builds capacity across line ministries in line with the multi-sectoral approach to prevention and response to gender-based violence.",Jan-13,Jan-16,Health,UNICEF,"UNICEF, OFDA, JAPAN, CIDA, SIDA, Netherlands, Swiss, Austria, UK Natcom","CCBRS,SAF TASS, GRT, GECPD, WAAPO, Baha Koob, HIWA, SEDHURO, SCWRW, ELMAN, OSPAD, INTERSOS, CISP, SFCC, SWDC, RI, MC",NGOs,5500000,1175000,1200000,1000000,Not available,Principal,Significant,Not targeted,953200,1600000,1400000,3953200
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Improve and maintain optimum child and maternal nutrition status for U5 boys and girls and PLWs by ensuring access to and utilization of a quality integrated Basic Nutrition Services Package in all regions of Somalia,"1. To contribute to the reduction of malnutrition related ailments and mortality among vulnerable boys, girls (6-59 months), pregnant and lactating women (PLW) through systematic equal access to quality integrated curative and preventive food-based nutrition interventions 2. To improve women, boys and girl’s access to evidence-based and feasible nutrition and nutrition related resilience activities, available through the Basic Nutrition Services Package (BNSP) interventions linking nutrition to Health, WASH, Food Security, Education and child protection programmes 3. To contribute to the availability of timely and quality community and health centre-based nutrition information, programme coverage and operational research (OR) into responses to the causes of malnutrition and related problems 4. To strengthen the coordination and capacity of all nutrition partners including communities and line ministries to deliver quality and sustainable emergency nutrition services through a variety of approaches",Jan-15,Jan-17,,UNICEF,"UNICEF, USAID/Food for Peace/ OFDA, UNICEF, JAPAN, SIDA, ECHO, CHF, DFID, DENMARK, UNOCHA, CANADA/IHA , Micronutrient Initiative, UNICEF National Committees ( German , USA)","Over 100 partners (IMC, CESVI, TROCAIRE, SOS, IMC, ANPPCAN, PSI, IMC, INTERSOS, OXFAM, SOLNARDO, GEWDO, Mercy USA, TUOS, HIRDA, HIRDA, HOPEL, ANPPCAN, RAAS, PAC, IRC, SAMA, HIDIG, SWISO KALMO, RAAS, BPPSC, EDRO, GEWDO, DMO, GRRN, HARD, SRCS, SCODO, HPA, WVI, SC, CISP, DHO, BHDC, BTSC, ACF, Save the Children,Wardi, SOADO,Zam Zam, HIDIG,SRDA )",NGOs,65207490,21000000,23671286,23771492,https://docs.unocha.org/sites/dms/CAP/CAP_2013_Somalia.pdf,Significant,Significant,Significant,4830000,5444396,5467443,15741839
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Grant for Malaria Control & Elimination and Health System Strengthening,"1.By December 2017, ensure at least 90% of the population in targeted areas, are covered by LLINs or IRS as guided by stratification. 2.By December 2017, increase access to effective malaria diagnosis and treatment to at least 80% of patients in public health facilities, including primary health units, and 60% of patients in targeted private facilities 3.By December 2017, strengthen national capacity for malaria surveillance and epidemic response management. 4.By December 2017, at least 70% of people living in malarious areas recognize and take proper action to prevent malaria and seek treatment. 5.By December 2017, strengthen health system monitoring and evaluation, and procurement supply chain processes",Jan-15,Jan-17,"Capacity development, GAVI HSS",UNICEF,GFATM,1.WHO 2.SWISSO KALMO 3.HIRDA 4.WARDI 5.SOMALI AID 6.HAVOYOCO 7.PMWDO 8. ISDP 9. ZAM ZAM 10.HOPEL 11.SCI 12.MoH Fed 13.MoH NEZ 14.MoH NWZ,"Government, UN & NGOs",33680844,1417109.85,19743507,12520227,http://www.theglobalfund.org,Not Targeted,Significant,Not Targeted,141711,1974351,1252023,3368085
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Reducing new HIV infections and HIV related mortality and morbidity among Somalis,"In line with the new HIV Strategic Plan for Somalia (2015-2019), the project is implemented allover Somalia with five priority thematic areas, as follows: 1. Preventing new HIV infections especially among key populations (vulnerable women, female sex workers and their clients, truck drivers, postworkers and uniformed personnell) through BCC outreaches; 2. Increasing access to and utilization of optimally efficient, effective and integrated treatment, care and support services (VCT, TB/HIV co-management, PMTCT, ART and support to PLHIV); 3. Strengthening monitoring and evaluation of the response; 4. Ensuring an enabling environment for the response in order to reduce stigma and discrimination; 5. Strengthening management and coordination of the response through capacity building of the Government and HIV partners.",Jan-15,Jan-17,,UNICEF,Global Fund,"Ministries of Health, WHO, UNDP, AIDS Commissions, Progressio, SCRCS, Swisso Kalmo, CISP, Mercy USA, Galkayo Medical Foundation, SOS Village Children, Human Development Concern, SAHAN, WAWA, PLHIV networks, Physician Across Continents, CCS, PUNCHAD, OSPAD","Government, UN & NGOs",20614311.18,4541236.61,8894559.09,7178515.48,http://www.theglobalfund.org/en/,Significant,Significant,NA – not screened,1512232,2961888,2390446,6864566
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 29,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,WV -PR,NGOs,19197821,5033742,4919813,4486337,,Principal,Principal,Not Targeted,719106,702830,640905,2062841
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Support to Health Service Delivery in Somalia,The main objective of the health projects is to improve the health status of the beneficiary populations,Jan-13,Jan-17,,UNOPS,Italian Government,UNOPS,UN,8704988,2116674.47,3086808,2511483,http://data.unops.org/index.htm#SegmentCode=ORG&FocusCode=DATA_PROJECTS&EntityCode=PROJECT_ID&EntityValue=00083594##SectionCode=OVERVIEW,Significant,Significant,Not targeted,1375838,2006425,1632464,5014727
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Polio for operationalization of campaigns,To eradicate polio,Jan-13,Mar-16,,UNICEF,"Crown Prince, US, UNICEF US Funds & 7% set aside; Rotary; UNICEF - US Fund; Japan; CERF; ECHO; DfID","UNICEF, MOH of CSZ/NEZ/NWZ, WARDI, Swisso Kalmo, MARDO/HIRDA/, InterSOS",Government & UN,7893640,2100000,5513386,1200000,,Significant,Significant,Not targeted,147000,385937,84000,616937
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Social mobilisation,The objective of this project is to raise awareness for polio eradication,Jan-12,Mar-15,,UNICEF,Rotary,"UNICEF, MoH",Government & UN,373596.88,50000,1300000,1170000,,Significant,Significant,Not targeted,3500,91000,81900,176400
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 27,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,MUSLIM AID,NGOs,2027754,436398,596488,587488,,Principal,Principal,Not Targeted,87280,119298,117498,324076
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,Support to hospitals in Southern Regions of Somalia,"Support to ICRC activities in Somalia, specifically the health assistance in Southernregions, covering infrastructure improvements and running costs of hospitals in Mogadishu, Kisimayo and Baidoa. Support to health centres and mobile clinincs also in Bakool and Gedo. Assistance to prisoners all over the country.",Jan-16,Jan-17,,Italy,Italy,ICRC,NGOs,4444444.444,0,3888888.889,555555.5556,,Significant,Not targeted,Not targeted,,1283333,183333,1466666
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 23,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,CCM Italy,NGOs,1639550.25,328793.25,484869,484869,,Principal,Principal,Not Targeted,46970,69267,69267,185504
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 24,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,MERCY USA,NGOs,1664817,405779,484611,484611,,Principal,Principal,Not Targeted,56809,67846,67846,192501
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 21,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,MANHAL,NGOs,1202477,237082,384372,402760,,Principal,Principal,Not Targeted,59271,96093,100690,256054
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 26,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,WHO -TB,UN,2219432.74,640549.74,593718,370240,,Principal,Principal,Not Targeted,91507,84817,52891,229215
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,To decrease the burden of Tuberculosis in Somalia - 20,"-To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion. -Strengthen MDR TB Services and TB/HIV collaborative interventions. -To Strengthen NTP management capacity",Jan-14,Jan-17,,The Global Fund,The Global Fund,ZAMZAM,NGOs,1076640,196044,347676,341556,,Principal,Principal,Not Targeted,49011,86919,85389,221319
Benadir,Social & human capital,Health,51310327,52215286,37450545,22358374,19907559,16204069,17761799.35,16869920.13,12639626.04,JPLG - 5 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Jan-17,Decentralized service delivery modeling in health,UN JPLG,"SIDA, EC, DFID, DENMARK, SDC and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,346302.7225,354459.3325,336878.465,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,15584,15951,15160,46695
