Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
"Management of temporary way station in Kisamyu and provision of assistance in Afgooye and Wanla Wyne to support voluntary returns and repatriation for Somali refugees from Kenya, Ethiopia and Yemen",Potential for voluntary return realized,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Mercy Corps,NGOs,4803562,0,4803562,0,4803562,,Significant,Significant,NA – not screened ,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4803562,0,0,0,0,0,0,0,0,0,0,0
"Support voluntary and informed return and reintegration of Somali Refugees from Kenya, Yemen, Ethiopia and Eritrea to Baidoa, Jowhar and Mogadishu Districts",Potential for voluntary return realized,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID","INTERSOS, Italy",NGOs,2690515,0,2690515,0,2690515,,Significant,Significant,NA – not screened ,,0.333333333,,0.333333333,,,0.333333333,,,0,0,0,0,0,0,0,0,0,0,896838,0,896838,0,0,896838,0,0,0,0,0,0,0,0,0,0,0
Management of Dhobley Way Station and Transit Assistance in Mogadishu to Support Voluntary Repatriation of Somali Refugees from Kenya,Potential for voluntary return realized,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",International Organization for Migration,UN,1549740,0,1549740,0,1549740,,Significant,Significant,NA – not screened ,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1549740,0,0,0,0,0,0,0,0,0,0,0,0,0
Transit and Reintegration Assistance to Somali Refugee Returns in South Central Somalia in Luuq,Potential for voluntary return realized,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Danish Refugee Council,NGOs,1094272,0,1094272,0,1094272,,Significant,Significant,NA – not screened ,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1094272,0,0,0,0,0,0,0,0,0,0,0,0,0
Reintegration Assistance for refugee returnees in Baidoa,Reintegration- Livelihoods,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Danish Refugee Council,NGOs,1079246,0,1079246,0,1079246,,Significant,Significant,NA – not screened ,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079246,0,0,0,0,0,0,0,0,0,0,0
"Coordination of Refugee, Returnee and IDPs in South Central Regions of Somalia including Registration", Protection and Mixed Solutions,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",National Commission For Refugees And IDPs,NGOs,1051880,0,1051880,0,1051880,,Significant,Significant,NA – not screened ,,0.2,0.2,0.2,0.2,,0.2,,,0,0,0,0,0,0,0,0,0,0,210376,210376,210376,210376,0,210376,0,0,0,0,0,0,0,0,0,0,0
Provision of Livelihood Opportunities for Returnees and IDPs in Lower Juba,Reintegration- Livelihoods,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",American Refugee Committee,NGOs,912688,0,912688,0,912688,,Significant,Significant,NA – not screened ,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,912688,0,0,0,0,0,0,0,0,0,0,0,0,0
Provision of Essential Healthcare Services and Subsistence Allowance to Refugees and Returnees in Mogadishu,1. Health status of the population improved                          2. Self reliance and Livelihoods improved   ,Apr-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,"Health, Livelihoods,",UNHCR,"KSC, Japan, ECHO","International Rescue Committee, USA",NGOs,744383,0,744383,0,744383,,Significant,Significant,NA – not screened ,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,744383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Provision of permanent shelter to locally integrating IDPs and vulnerable host community in Galkayo, Puntland, Somalia","Sustainable shelter solutions provided to IDPs, vulnerable host community and returnees reintegrating with their families  Family Latrine to improve the sanitation conditions  Training on construction and awareness",Jan-16,May-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Japan, Canada, UK, Germany, ECHO, CHF",NRC,NGOs,630905,0,630905,0,630905,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630905,0,0,0,0,0,0,0,0,0,0,0,0
"Enhanced self-reliance, livelihoods, and coexistence for IDPs in Galkayo",To support the process of local integration of protracted IDPs through implementing livelihood projects for IDPs and host communities.,Sep-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Japan, Canada, UK, Germany, ECHO, CHF",DRC,NGOs,595000,0,595000,0,595000,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595000,0,0,0,0,0,0,0,0,0,0,0,0
"Provision of permanent shelter to locally integrating IDPs and vulnerable host community in Garowe, Puntland, Somalia",Potential for integration realized,Sep-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Norwegian Refugees Council (NRC),NGOs,472925,0,472925,0,472925,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472925,0,0,0,0,0,0,0,0,0,0,0,0
Promoting livelihoods and Self-resilience for Refugees in Puntland,Access to self-employment / business facilitated through grants,Aug-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Danish Refugee Council (DRC),NGOs,451603,0,451603,0,451603,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451603,0,0,0,0,0,0,0,0,0,0,0,0
"IDPs, Refugees, returnees, asylum seekers Registration and capacity building to Jubbaland commission.", Protection and Mixed Solutions,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Jubbaland Refugee and IDPs Affairs,NGOs,309165,0,309165,0,309165,,Significant,Significant,NA – not screened ,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,309165,0,0,0,0,0,0,0,0,0,0,0,0,0
Promoting livelihoods and Self-resilience for Refugees in Somaliland and Peaceful co-existence centre management,1. Access to self-employment / business facilitated through grants.                                                                                             2. Peace co-existence with Local Communities promoted.,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,Livelihoods,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Africa Action Help International (AAHI),NGOs,307475,0,307475,0,307475,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307475,0,0,0,0,0,0,0,0,0,0
"Support to Ministry of Interior, IDP Affairs Department for implementation of Puntland Local Integration Strategy","1) Law and policy developed or strengthened                       2) Comprehensive Solutions strategy developed, strengthened or updated",Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, DFID","Puntland Ministry of Interior, Local Government and Rural Development",Government,291360,0,291360,0,291360,,Significant,Principal,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291360,0,0,0,0,0,0,0,0,0,0,0,0
"Provision of education, health and GBV services for refugees in Galkayo",Access to basic services for refugees is improved and risk of SGBV is reduced and quality of response improved,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,"Health, Education, GBV",UNHCR,"Germany, Japan,UK, USA",RI and Galkayo Medical Foundation (GMF),NGOs,260276,0,260276,0,260276,,Significant,Significant,NA – not screened ,,,0.5,,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,130138,0,0,130138,0,0,0,0,0,0,0,0,0,0,0,0
"Support to Ministry of Interior, Refugee Affairs Department for Registration Capacity Building and Reception Centre management",1) Quality of registration and profiling improved or maintained                                                                                                   2) Reception conditions improved,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID","Puntland Ministry of Interior, Local Government and Rural Development",Government,259830,0,259830,0,259830,,Significant,Principal,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259830,0,0,0,0,0,0,0,0,0,0,0,0
Re-integration for Somali Refugee Returnees from Yemen to their areas of return.,Potential for integration realized,Apr-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,Livelihoods,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Finn Church Aid (FCA),NGOs,252000,0,252000,0,252000,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252000,0,0,0,0,0,0,0,0,0,0
"Provision of basic services (health) to Yemen refugees, access to self employment/business facilitated and Reception centre management",1. Health status of the population improved                          2. Self reliance and Livelihoods improved                              3. Reception condition improved,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,"Health, Livelihoods,",UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Danish Refugee Council (DRC),NGOs,235989,0,235989,0,235989,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235989,0,0,0,0,0,0,0,0,0,0
Promoting livelihoods and Self-resilience for IDPs in Hargeisa permanent settlement,Access to self-employment / business facilitated through community mobilization and cash grants,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,Community self-management supported,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Danish Refugee Council (DRC),NGOs,200000,0,200000,0,200000,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0
"Provision of basic facilities (construction of MCH, P Schools, market places, Police posts and Solar energy in permanent IDP settlements in Hargeisa",Peace co-existence with local communities promoted (Project benefiting host and Displaced communities implemented),Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan KSC, DFID",Comprehensive Community Based and Rehabiltation in Somaliland (CCBRS),NGOs,169046,0,169046,0,169046,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169046,0,0,0,0,0,0,0,0,0,0
"Support to Ministry of Resettlement, Rehabilitation and Reconstruction (MRR&R) for Refugees and Asylum Seekers.",Quality of registration and profiling improved or maintained                                                                                                   ,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID","Ministry of Resettlement, Rehabilitation and Reconstruction (MRR&R)",Government,156928,0,156928,0,156928,,Significant,Principal,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156928,0,0,0,0,0,0,0,0,0,0
Strengthening sustainable reintegration and peaceful coexistence mechanisms for Somali returnees and home communities in Beletweyne.,To enhance access to basic services and livelhood opportunities of returning refugees and local communities members in Beletweyn.,Aug-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Japan, Canada, UK, Germany, ECHO, CHF",DRC,NGOs,150261,0,150261,0,150261,,Significant,Significant,NA – not screened ,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,150261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Provision of SGBV prevention, response and assistance to Internally Displaced Persons in Bossaso, Qardho and Garowe IDP settlements",Risk of SGBV is reduced and quality of response increased,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,GBV,UNHCR,"USA, Canada, ECHO, Germany, Japan KSC, DFID",KAALO AID and Development,NGOs,120000,0,120000,0,120000,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0
"Legal Assistance and Protection of Refugees and Asylum Seekers in Bossaso, Galkayo, Gardo and Garowe",Access to legal assistance and legal remedies improved,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,Justice and law enforcement,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",KAALO AID and Development,NGOs,112168,0,112168,0,112168,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112168,0,0,0,0,0,0,0,0,0,0,0,0
"Support to Ministry of Resettlement, Rehabilitation and Reconstruction (MRR&R) for durable solution for IDPs.",Peace co-existence with local communities promoted,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID","Ministry of Resetllement, Rehabilitation and Reconstruction (MRR&R)",Government,91682,0,91682,0,91682,,Significant,Principal,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91682,0,0,0,0,0,0,0,0,0,0
Provision of Legal assistance and court presentation to refugees and Asylum seekers.,Access to legal Assistance and legal remedies improved,Jan-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,Justice and law enforcement,UNHCR,"USA, Canada, ECHO, Germany, Japan, DFID",Legal Clinic of Hargeisa University,Academic / Research Institutions,76394,0,76394,0,76394,,Significant,Principal,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76394,0,0,0,0,0,0,0,0,0,0
"“Supporting durable solutions through the piloting of an integrated approach between Return, Reintegration & Resilience (ThREe)”",Durable Solutions,Jan-16,Jun-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Norwegian Refugee Council,NGOs,150000,0,150000,0,150000,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0
"Set up, management of Afmadow WS and provision of return assistance",Potential for voluntary return realized,Sep-16,Dec-16,6. Building national Resilience Capacity,Durable Solutions,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",American Refugee Committee,NGOs,718338,0,718338,0,718338,,Significant,Significant,NA – not screened ,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,718338,0,0,0,0,0,0,0,0,0,0,0,0,0
Combatting Poverty and Vulnerability through Social Protection,"Establish foundational social protection systems in Somalia, through: (i) developing policy and institutional frameworks for social protection ; and (ii) identifying strategies to reach vulnerable people through social protection.  (Project also referred to as  PRRO200844 - Social Protection in WFP reporting)",Nov-16,Mar-18,6. Building national Resilience Capacity,Social Protection,,UNICEF / WFP,UN MPTF,"UNICEF, WFP, MOPIC",Government & UN,1515000,0,100000,1300000,1400000,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,1300000
Building Resilience through Social Safety Nets in Somalia,"The program will reach 5,000 households with regular cash transfers and livelihood support. Further, the overall communities, an estimated 15,000 households, will benefit from improved access to early warning messaging, disaster risk reduction and a scale-up of cash transfers in the event of a shock or disaster event. Finally, the project will support a body of research on Social Safety Net Programming, enabling service providers to continue to deliver better designed Safety Net interventions",Dec-15,Dec-18,6. Building national Resilience Capacity,Social Protection,,EU,EU,ACTED,NGOs,11111111,0,5310518,2344741,7655259,,Significant,Significant,Not Targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5310518,0,0,0,0,0,0,0,0,2344741
Op Atlanta,Outreach funding. Operational costs very difficult to quantify due to the nature of the multi-national structure of the Task Forces.  Ships operating costs estimated to run into tens of millions of $,,,"1. Peace, security, and rule of law",Security,Maritime,PSG 2 - Round 2,EU,,Unclear / TBD,0,0,7000000,0,7000000,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socio-economic Reintegration of Ex-Combatants and Youth at Risk Project,The overall development objective of the project is to promote sustainable reintegration of youth at risk including ex-combatants. The specific objective is to equip these youth with the needed social and livelihoods skills for sustainable reintegration into society and help enhance government’s capacity for tackling youth unemployment. The expected outcomes are sustainable reintegration of youth at risk including ex-combatants and enhanced government capacity for youth empowerment and reintegration programming.,May-16,Dec-17,"1. Peace, security, and rule of law",Security,,IOM,African Development Bank (AFDB),IOM and Forcier Consulting (baseline assessment),UN & Private Sector,4251991,0,1700796,2551194,4251990,,Significant,Principal,Principal,0.1,,,,0.45,,0.45,,,0,0,0,0,0,0,0,0,0,170080,0,0,0,765358,0,765358,0,0,255119,0,0,0,1148037,0,1148037,0,0
Support to the Somali Security Architecture,The Overall objective is to increase the civilian oversight function of the MoD by: infra and equipment and training inputs in Villa Gashandigga,Jan-14,Dec-17,"1. Peace, security, and rule of law",Security,NSA,PSG 2 - Round 2,EU ,TBD,Unclear / TBD,2073900,0,1050000,1050000,2100000,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1050000,0,0,0,0,0,0,0,0,1050000,0,0,0,0,0,0,0,0
"Support for the National Programme on the Treatment and Handling of Disengaging Combatants in Baidoa and Kismayo – Transition, Reintegration and Socioeconomic Reintegration Monitoring",The project supports the rehabilitation and reintegration of disengaged combatants through:  1. Establishment and start-up of a transition centre in Kismayo. 2. Continuation of technical and financial support to the running of the Baidoa Transition Centre. 3. Provision of reintegration activities and socioeconomic reintegration monitoring of disengaged combatants after their release and reinsertion into communities in Baidoa.,Jan-16,Dec-16,"1. Peace, security, and rule of law",Security,,IOM,Permanent Mission of Germany to the UN,IOM and Rural Education and Agriculture Development Organisation (READO) in SWS (reintegration component),UN & NGOs,2003491,0,2003491,0,2003491,,Significant,Principal,Principal,,,,,0.5,,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1001745,0,1001745,0,0,0,0,0,0,0,0,0,0,0
Somalia Security Institutions-HRS,"Human Resources System Steering Group to build and, systematically and efficiently manage an accountable and transparent human resources system that supports the security institutions stipend payments and benefits of the security forces and veterans. ",Feb-17,Sep-17,"1. Peace, security, and rule of law",Security,NSA,PSG 2 - Round 2,UK,UNOPS,UN,1602359,1502359,100000,0,1602359,,,,,1,,,,,,,,,1502359,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic policy and coordination support to the FGS,"Support the FGS in developing the institutions, policies and systems required to manage a response to explosive hazards, and to accountably manage weapons and ammunition",Apr-16,Sep-17,"1. Peace, security, and rule of law",Security,Security Sector,PSG 2 - Round 2,UN,UNMAS,UN,1248000,0,1248000,0,1248000,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treatment and Handling of Disengaging Combatants in South Central Somalia: Baidoa Center – Transition, Reintegration and Tracking",To support the rehabilitation and reintegration of disengaged fighters in Baidoa.,Mar-15,Feb-16,"1. Peace, security, and rule of law",Security,,IOM,Permanent Mission of Germany to the UN,IOM and Reintegration- Rural Education and Agriculture Development Organisation (READO) (reintegration component),UN & NGOs,1102387,919877,182511,0,1102388,,Significant,Principal,Principal,,,,,,,1,,,0,0,0,0,0,0,919877,0,0,0,0,0,0,0,0,182511,0,0,0,0,0,0,0,0,0,0,0
Assisting the Federal Government of Somalia to Develop a Comprehensive Weapons and Ammunition Management System in Somalia,"This project results in a documented framework, system of work and accompanying set of procedures, equipment and basic training for the marking, record keeping, management, distribution and verification of weapons and small arms ammunition in Somalia. The system is owned by the Federal Government of Somalia, and implemented with assistance from UNMAS providing specific technical advice and support.",Apr-16,Sep-17,"1. Peace, security, and rule of law",Security,,UNMAS,UK (FCO),UNMAS,UN,870240,0,435120,435120,870240,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,435120,0,0,0,0,0,0,0,0,435120,0,0,0,0,0,0,0,0
